inputs,label
"[4.97169933 0.581442   0.9847921  0.64893616 2.08811444 1.30814981
 0.38961696 1.39560871 0.74651249 0.98830528 0.35515682 4.82257912]",1
"[6.32442643 0.41255194 0.97485642 0.26670377 2.90903749 1.18040095
 2.12870183 2.10719067 0.         1.19734736 3.35807417 1.55184187]",1
"[2.86943593 1.40632136 0.40636644 0.76028899 1.34171165 0.7426089
 0.79898537 2.80982227 0.95555457 1.19734736 1.41298825 5.52247128]",1
"[0.73104702 0.         1.19078361 0.65744782 0.         0.
 0.         0.69309334 0.74651249 0.         0.44717106 1.27983059]",1
"[3.55817587 1.28459715 1.3887035  0.08913624 1.34171165 0.38130917
 0.         1.41373667 0.         1.19734736 1.78867172 1.31195522]",1
"[6.32442643 1.28459715 1.3887035  1.13792395 4.2771971  3.15133888
 2.34241934 0.68330218 0.         0.         0.31204694 3.46878383]",1
"[3.93078761 0.98614255 1.99650336 2.16523242 2.16059059 0.91853285
 0.36931299 0.05577597 0.74651249 1.19734736 1.67380933 2.18275341]",1
"[5.65214022 1.28459715 1.3887035  1.28910984 6.32472439 2.02592891
 0.52516122 2.13508223 0.24179279 0.98830528 1.59202865 2.81678765]",1
"[3.4999104  1.82367972 1.20126363 2.73553916 4.16419046 1.08338742
 0.33081376 0.72981068 0.         1.19734736 3.18112765 9.2183806 ]",1
"[1.35272709 0.99399395 1.95964852 0.91563993 0.82092305 2.48855075
 1.73908488 0.71158196 0.74651249 0.20904208 3.71323099 3.27073725]",1
"[2.10226341 1.98776336 1.39115853 1.40922514 0.74640279 0.56554091
 0.40936842 1.41421356 0.20904208 0.20904208 1.05783144 0.69989216]",1
"[4.24065231 0.581442   2.17557571 1.30638397 2.08811444 1.30814981
 0.38961696 0.70251537 0.         0.98830528 0.09201424 3.54274853]",1
"[1.41352346 1.86603916 2.37349559 0.55979991 0.74640279 0.92684064
 0.38961696 0.01812796 0.74651249 0.20904208 2.14382854 3.5106239 ]",1
"[1.35272709 1.86603916 2.37349559 0.4889878  2.18908266 1.84318908
 2.7320363  2.07891089 0.74651249 0.98830528 0.66720375 1.35379529]",1
"[1.04091172 1.56758455 2.98129546 1.51629627 0.07247615 0.38961696
 0.75892994 1.33983274 0.         0.20904208 2.02896615 2.63982572]",1
"[0.68044088 1.86603916 2.37349559 0.64017368 4.23660995 0.71777911
 0.91477818 3.53069094 0.98830528 0.         1.94718546 2.00579147]",1
"[1.47178894 1.24223772 0.21647153 3.38447531 2.07607602 0.22476238
 0.0588032  0.66579803 0.74651249 0.20904208 2.82597083 4.39580148]",1
"[3.4549905  0.99376942 0.56848998 0.49358521 1.56732584 1.92300984
 1.32971646 0.7026316  0.95555457 0.         4.77106242 3.97062941]",1
"[5.59337941 0.41255194 0.21592719 0.39074404 2.90903749 1.18040095
 2.12870183 1.41409733 0.74651249 1.19734736 3.80524523 0.27201128]",1
"[2.76625055 0.87204521 0.41384708 0.35584002 1.56732584 1.56171011
 2.12870183 0.693454   0.         0.         1.56940245 0.23988665]",1
"[0.         0.87204521 0.41384708 1.40462773 1.36815961 4.33173983
 4.47112118 2.79049285 0.         1.19734736 3.04602723 1.91694196]",1
"[2.39363882 0.57359061 1.02164694 2.4319362  0.7484469  2.0989338
 2.49801482 2.05141471 0.74651249 0.         1.68426484 0.63091153]",1
"[0.67228621 0.87204521 0.41384708 1.55581361 3.4156869  3.20632986
 2.65386306 4.2422729  0.24179279 0.20904208 1.76604553 1.26494578]",1
"[2.82451603 2.23623167 2.17612005 2.46883538 1.25515297 2.26378837
 1.79788808 1.37737999 0.         0.         6.53920182 7.66653873]",1
"[2.13838891 1.40632136 0.78441718 0.10284117 1.34171165 0.7426089
 0.79898537 2.11672893 0.20904208 1.19734736 0.96581719 4.24264069]",1
"[0.68873995 0.12172421 0.98233706 0.84942523 0.         0.36129973
 0.79898537 1.3960856  0.95555457 0.         3.20165998 4.21051605]",1
"[3.4549905  0.12172421 0.98233706 1.89821294 2.93548545 2.40872999
 3.14140472 3.49312446 0.95555457 1.19734736 1.72503519 2.05368745]",1
"[1.06135168 0.42017881 1.59013693 2.92552141 0.81887894 0.17592395
 1.16829836 2.75404631 0.20904208 0.         3.08679758 3.33971787]",1
"[2.78270429 0.12172421 0.98233706 2.04939883 4.98301274 1.28332002
 1.3241466  4.9449045  1.19734736 0.20904208 3.0050169  2.70568362]",1
"[0.63047447 3.23000108 1.60763007 1.97525017 2.82247881 0.34077853
 0.46817162 2.08001159 0.95555457 0.         1.7681394  3.69590932]",1
