inputs,label
"[6.61340154 6.65128857 6.70665987 0.         3.43691265 3.76262742
 1.28844966 1.05173566 0.         0.93939051 4.69002831 1.4445004 ]",1
"[3.55930649 0.154869   3.09264555 6.38359321 0.54277153 0.08700229
 3.43270136 5.19008525 0.91302885 0.         8.01189176 0.35371599]",1
"[5.7773103  1.11069452 1.7608413  3.27199462 2.27912624 2.05008123
 0.37393235 3.11246226 1.32303913 0.93939051 4.71539563 2.08852266]",1
"[3.23348116 3.63711967 4.86613925 4.96394657 1.36441995 2.67359037
 3.15832236 3.79913336 0.28614529 1.26205918 0.58688877 1.14627912]",1
"[5.32626397 1.15616082 1.16606582 6.27709919 4.50240524 2.18131613
 2.17709114 3.63103335 0.69759772 0.91302885 2.49413686 1.83100534]",1
"[10.99053784  8.06804206  4.32403156  0.69231168  8.61940138  5.36946701
  0.43910134  1.39629054  2.22288715  0.38516481  4.1646545   1.20620729]",1
"[0.21323778 0.0553713  0.2552731  2.21940275 0.81880268 0.49014768
 1.19681044 2.3171711  0.38516481 0.         5.81203599 3.23819276]",1
"[ 3.917168   11.88051641 13.03711063 14.69598445  2.89231641  5.23218698
  8.22154827  9.32490308  1.38516481  2.55673768  3.01217667 11.8121263 ]",1
"[12.92741476  1.11069452  0.52815154  4.8718994  11.36083919  4.37175796
  1.42833137  4.6373101   1.26205918  0.28614529  8.60172293  5.9791469 ]",1
"[10.85137858  1.36450051  5.82257201 10.14239963  8.42364048  3.11743119
  5.6557604  10.24064536  1.38516481  0.44578709  2.20950792  6.56009177]",1
"[3.24298962 7.07947585 7.2916105  9.67395399 0.79529116 0.10148136
 2.81397248 5.59187901 0.         0.93939051 3.8948267  1.95325492]",1
"[5.11872511 2.920161   1.43957254 0.69231168 4.24196246 3.56765263
 1.28844966 0.98937557 1.26205918 0.28614529 2.20950792 1.18215279]",1
"[1.82888655 2.69564982 1.7608413  2.09486452 3.6178441  2.72345764
 0.96372248 0.         0.93939051 0.         1.08198634 1.89922248]",1
"[1.82888655 0.41913346 0.36376215 7.96689098 2.47878012 3.8369677
 4.70579164 6.39580897 0.         0.         3.60445918 0.50848582]",1
"[0.32482834 0.47902812 1.91821936 0.01963807 0.324809   2.53223845
 1.92062075 0.41649451 0.28614529 0.93939051 2.21394268 4.43055036]",1
"[ 7.02638725  9.6819664   9.94959808 10.12691479  4.28200164  5.02746838
  5.94685215  6.65144228  0.69759772  0.91302885  3.76489438  1.14627912]",1
"[3.78764624 6.28908101 4.86613925 0.60240818 2.02642561 2.12736187
 0.66854533 0.         0.69759772 0.         3.1999078  3.33543636]",1
"[6.02660881 5.91746512 5.55420248 1.413683   2.7766079  0.70409513
 1.68695812 2.46072184 1.26205918 0.28614529 6.92025555 0.90511592]",1
"[14.73070064  0.76911893  5.16492994 10.21278017  9.89834591  5.00781513
  3.22487824 11.55134444  0.93939051  1.38516481  6.11556381  0.31651629]",1
"[3.8274635  2.54271898 2.0033617  2.82727243 2.67404371 2.12736187
 2.22541544 2.52994316 0.91302885 0.28614529 3.15281961 1.83100534]",1
"[1.11730459 2.82548473 0.45606844 1.39457549 3.09657757 2.56164928
 2.81397248 4.0084657  0.93939051 0.         0.8257477  2.59342926]",1
"[3.10569803 5.00971445 5.71858868 2.66125277 0.4766036  0.04352858
 0.59630835 0.95275115 0.         0.69759772 1.94090618 1.92200868]",1
"[13.22036108  8.90051614  7.96183986  0.69231168  8.61940138  3.1813515
  0.77316243  2.36507616  1.26205918  0.93939051  8.88893654  4.16413057]",1
"[17.98151159 11.98597364 10.0064172   6.88589522 13.86851554  9.41835871
  5.4566523   3.17277913  0.91302885  0.28614529 13.01135698  0.74302687]",1
"[6.83532946 3.34885954 2.16580166 0.69231168 4.24196246 3.97525829
 0.66854533 1.9923621  0.61483519 0.         1.39138237 1.95325492]",1
"[0.41478922 2.73188777 3.48467225 2.48215513 0.72467846 0.49014768
 1.24033902 2.2091831  0.28614529 0.         1.74154313 1.92200868]",1
"[ 7.93930206 10.1935583   9.05264426  2.21940275  5.32474264  4.07389781
  0.34777187  3.39374813  0.38516481  0.          8.01189176  1.00640157]",1
"[4.51935073 0.73737465 0.36376215 2.764948   3.54152591 4.47170259
 3.83065794 3.17277913 0.28614529 0.91302885 0.9823622  0.42297186]",1
"[ 4.22102231  3.14587297  3.16552492  3.39186902  3.5516336   2.27676879
  0.77316243  1.13280257  0.93939051  0.44578709  4.99777111 11.77067491]",1
"[1.86467509 5.29744119 4.72993116 2.59914242 1.32119441 0.2747592
 0.24154028 0.51082031 0.61483519 0.38516481 0.32992207 6.38947169]",1
"[4.35805495 0.56871787 0.26640485 2.21940275 2.3171711  1.86535577
 0.29947939 2.3171711  0.         0.         3.8948267  0.90511592]",1
"[5.20056256 5.80285019 4.86613925 0.         1.50092137 0.23308796
 0.9344747  1.05173566 0.         0.         5.30813806 0.42297186]",1
"[1.43368865 3.07446461 2.07290387 2.4072151  1.55287793 0.23152093
 1.98628963 2.63947109 0.61483519 0.91302885 3.15281961 3.60526415]",1
"[8.43000734 2.920161   1.88770635 6.38359321 6.49746218 3.39000132
 1.2982918  4.0084657  0.28614529 0.         6.94886203 1.14627912]",1
